"lingua","proverbio","interpretacao"
"Kikongo","Aleke, ntu mia nzenze ka mitwanga mwamba ko","Os jovens são como cabeças de grilos que não suavizam os temperos. Diz-se dos jovens que não se conformam com os conselhos dos seus pais ou dos adultos em geral.."
"Kikongo","Ambote i akwendanga, ambii asalanga","Os bons partem cedo, os maus ficam mais tempo. O adágio significa que os bons morrem cedo ao passo que os maus vivem mais tempo. «Má erva cresce sempre»."
"Kikongo","Ambuta atukanikina vo katudye nkasa za nkukutu yovo wandu wa nkukutu ko","Os antepassados proibiram-nos de comer feijões crus. Este adágio é utilizado para incutir ou reforçar o respeito de uma tradição ou de um preceito legado pela antiga sabedoria."
"Kikongo","Ambuta kadi kusisila nzundu ko avo kamont mpinu ko yovo: ambuta asisila nzundu, mpinu amona","Os velhos não te teriam investido da autoridade se não te tivessem julgado capaz mas porque confiaram na tua sabedoria. Este provérbio é um reconhecimento da competência dos jovens que assumem sabiamente as responsabilidades herdadas dos seus mais velhos ou antepassados. Assim, foram escolhidos como seus dignos sucessores porque mostraram-se dignos da sua confiança."
"Kikongo","An'a mbwa ka vita temona meso ko ekuma imanata ngudi a mbwa mengil","Os cachorrinhos não abrem cedinho os olhos por causa de muitas maldades da sua mãe. As maldades dos pais repercutem-se na sua progenitura. «Muitas vezes o pequeno javali paga pelos estragos do javali adulto» (provérbio Dinamarquês - R.Sha)."
"Kikongo","An'angudi avatila va mosi kansi, e mwingilu mbuta","Os filhos de uma mesma mãe que lavram num mesmo campo, devem precaverse contra possíveis contendas demarcando primeiramente os limites de suas propriedades respectivas. «Sede irmãos na vida comum, mas estranhos nos negócios» (Provérbio Árabe - Rosa Sha). «Mais vale prevenir do que remediar» pois, «as propriedades são fontes de conflitos entre irmãos.»"
"Kikongo","Ansididi mbolongo ya tiya va moko","Puseram-lhe uma beringela quente na mão. Este provérbio é o mesmo que «colocar uma batata quente na mão de alguém ou embaraçá-lo com um problema de difícil solução»."
"Kikongo","A tuma avava, anati à nsangu a engi (a ingi)","Os mensageiros são raros, os boateiros abundam. «Más novas viajam depressa.»"
"Kikongo","Avita asukinina, asukinina avita","Os primeiros serão os derradeiros e os derradeiros serão os primeiros (Mat. 20:16). Este provérbio é um conselho de não dormir sobre os louros mas de fazer um esforço sustentado em qualquer actividade importante da vida."
"Kikongo","Avitanga zika mvumbi kie ntu azikanga yovo akanganga, ay'asukininanga kie malu azikanga","Os primeiros que estão presentes num funeral enterram a cabeça do morto. Os que chegam depois do enterro enterram os pés. A cabeça do defunto refere-se ao enterro do próprio morto e os pés representam os problemas subsequentes e pendentes do seu óbito."
"Kikongo","Avo kovola, taula, e ntulu aku ibosi ivevoka","Se tossir, expectore, pois assim, os pulmões lhe serão aliviados. Todo o mal que afecta a nossa vida deve ser sanado a tempo e o risco de ver o nosso estado piorar. «Quem negligencia perde.»"
"Kikongo","Avo nswa lekele, kukaki ko e nwa","Se armares uma massa, não tapes a sua abertura. O provérbio indica que quando tens um empreendimento não cria obstáculos ao seu normal efeito."
"Kikongo","Avo mbizi ukonda, kukovodiko","Se estiver à espreita de uma caça, não deve tossir. «Barulho e caça não andam de mãos dadas» (G. T. Zona). A indiscrição sobre um assunto em perspectiva prejudica a sua consecução. «Dai, a precaução em demasiada nada prejudica.»"
"Kikongo","Avo ntela wavava, kubatama ko avo mona fwangil","Se quiseres ser alto, não evitas o matagal. Se quiseres ser grande, não fujas aos incómodos da grandeza. «Quem boa cama fizer nela se deitará.»"
"Kikongo","Avo nti watekama vana kwa mbangu kasingika, elongi dia mbote muntu a mbote uvananga dio","Se um arbusto estiver torto, entregue-o a um artista para endireitá-lo. «Um bom conselho é dado por um homem bom e sábio» (Pelo «Venerável» Simão G. Toco). O arbusto torto representa uma situação crítica que pode encontrar solução com a ajuda de um homem bom."
"Kikongo","Avo tina uta tina, yovo landa atakulanda, nda sotodingi ibosi akuyambula","Se estiveres a fugir, vai deixando cair o que possuíres para que os teus perseguidores, preocupados em apanharem o que tu lhes deitares, te deixem andar em paz. «Quem quiser guardar tudo, tudo perde.»"
"Kikongo","Avo tota ntumbu mu nzila, muntu vitidi mo sotwele yo","Se achares uma agulha no caminho, foi alguém que te precedeu quem a deixou cair. Tudo quanto recebemos na vida é obra de alguém que nos abriu o caminho."
"Kikongo","Avo vanga dyaka dyambu dyambl ngiele kudikisa nkasa kwa mandyangu wadya ngudi andi sungula ngudi a nkweno","Se cometeres outra maldade, terei de te submeter à prova de veneno preparado por Mandiangu que comeu a sua mãe, e com muito mais razão, a mãe de outrem Um malfeitor que já comeu sua própria mãe, não vacilará em fazer o mesmo a uma outra pessoa indefesa. Daí: «Um malfeitor não é amedrontado senão por um maior malfeitor que ele.»"
"Kikongo","Av'ozola nkasa, mafungununu kuvondiko","Se desejares feijão, não mates os zangãos. São eles que disseminam o pólen que faz germinar as flores. «Onde há mel, há abelhas» e «não há rosas sem espinhos»."
"Kikongo","Avo wele vata, wene wantu atelema, ngeye mpe telema, avo avwanda, ngeye mpe vwanda","Se chegares a uma aldeia e encontrares que os habitantes estão de pé, fica de pé também ... se os encontrares sentados senta-te também. Este adágio é o equivalente do provérbio: «Em Roma, faz como os Romanos ou em Roma, sê romano.». «Quando estiveres no estrangeiro, não esqueças a tua parte de humiliação» (provérbio árabe — citado por M. Maurois — Larousse)."
"Kikongo","Awole wantu, umosi ninga","Dois são um grupo, um só é uma sombra. «Melhor é serem dois do que um, porque têm melhor paga do seu trabalho. Porque, se um cair, o outro levanta o seu companheiro, mas ai do que estiver só pois, caindo, não haverá outro que o levante.» (Eccl. 4:9-10)."
"Kikongo","Aya bena ye meno, masangu nkatu, aya bena ye masangu meno nkaiu","Os que têm dentes não têm milho. Os que têm milho não têm dentes. «Deus dá amêndoas aos que não têm dentes.»"
"Kikongo","Ay'avwidi nsingu nsanga nkatu","Y'AVWIDI NSANGA NSINGU NKATU.Os que têm pescoços não têm colares. Os que têm colares não têm pescoços. Segundo Jerome K. Jerome, isso acontece porque existe neste mundo este princípio: «cada qual tem em partilha algo de que não tem nada que fazer, e outros possuem o que faria a felicidade dos seus vizinhos.»."
"Kikongo","Baba ka lunganga knanu ko","O surdo-mudo não ganha um processo judiciário, pois a palavra salva o réu, o silêncio o condena. «Quem cala consente, e quem consente é cúmplice.»"
"Kikongo","Bá dia nsende nkw'a ngolo umatanga dio","Uma palmeira espinhosa é trepada só por um homem audacioso. A palmeira espinhosa simboliza um empreendimento difícil ou o caminho montante e difícil da vida, representado por um lindíssimo poema de Luís de Camões nos seguintes termos graves mas também suaves e encorajadores."
"Kikongo","Bá kana dividi etuku nsínga","A palmeira queimou-se por causa das suas fibras que pegaram fogo. Quando uma palmeira pega fogo, a causa imediata é atribuída às suas fibras. «Não há efeito sem causa»."
"Kikongo","Bonga nona kie vulukila muntu, ka nona kie fwila muntuko","Tome um exemplo de um facto que salvou alguém mas não daquele que o prejudicou. «Em casa de enforcado não se fala em baraço.» A sabedoria consiste em utilizar um argumento, um exemplo ou um provérbio, que te justifica e não te condena."
"Kikongo","Didi zasongo e za yanga zinlakilu","Comerá agora peixe espetado que se vende no mercado da aldeia, em detrimento do inesgotável peixe do lago a pescar à vontade. Diz-se de alguém que perde uma posição vantajosa e segura para uma mais desvantajosa menos segura."
"Kikongo","Dikoko, mbizi a nsoni, fuku imbuta","O gafanhoto é uma comida vergonhosa, mas torna-se importante quando é bem coberta. «A coisa mais comum, uma vez que nos é escondida, torna-se uma delícia.» (Oscar Wilde)."
"Kikongo","Dila mu meso kakutomanga ko","Comer com a avidez ou sofreguidão dos olhos não é bom, é enganar o estômago. «Ter mais olhos que barriga é prejudicial.»"
"Kikongo","Dinsusu-nsusu nkete dita nsunga, muntu nikwene dio","A planta dinsusu-nsusu espalha o seu aroma só quando for mexido por alguém. Este provérbio refere-se á situação de jovens mulheres que em geral suscitam rivalidades da parte de vários pretendentes especialmente no momento preciso em que são escolhidas por verdadeiros amantes que, assim, as incitam a brotarem como lindas flores, dos seus botões."
"Kikongo","Disu difwidi nkokela (masika) diele betela ye kilu","É uma feliz coincidência o facto de o olho ter sido magoado justamente na caída da noite. Diz-se de alguma coisa que acontece concomitantemente com uma outra cuja presença pode lhe ser favorável."
"Kikongo","Divenge nkweno avo ku venge dioko meno ngani","O que fez o outro embota os teus dentes se não o fizeres. Refere-se aos exemplos que são contagiosos."
"Kikongo","Dya dyaki kansi sisa ngudi a nsusu","Come o ovo mas poupa a galinha «Não abata a árvore para colher a fruta». «Viva e deixe viver»."
"Kikongo","Dya kana kutuka mpaka, mazowa adidiko","Se a comida originar contenda, é um sinal de que os que a comem são tolos. No desfruto de todas as coisas, é necessário ser tolerante, moderado e não egoísta, sabendo que: «todas as boas coisas encontram-se na natureza»."
"Kikongo","Dyaki dimosi dyawola di fwasanga maki mamengi","Um ovo podre contamina muitos ovos frescos. O mau exemplo é contagioso e estraga muita gente. «Anda com os bons, serás um deles. Chega-te aos maus, serás pior do que eles.»"
"Kikongo","Dyaki dina mu nwa dilutidi nsusu ina kuna sanzi","Um ovo na boca vale mais do que uma galinha na capoeira. «Mais vale um pássaro na mão do que dois a voar»."
"Kikongo","Dya kuswamanga, mambu ka maswamanga ko","Pode-se esconder a comida, mas não as notícias. «As notícias espalham-se rapidamente»."
"Kikongo","Dya ku zandu, mbalu ku vata","Do que se gasta no mercado, faz-se a conta no regresso à aldeia. Depois de cada empreendimento, segue-se um balanço entre as entradas e as saídas e apura-se o saldo que permitirá maximizar o activo se o saldo for positivo, ou minimizar o passivo se o saldo for negativo. «Todo prazer paga-se em seu devido tempo»."
"Kikongo","Dya kwaku fwa dya mvumbi, kansi dyambu diandi kulendi dyo dya fwa ko yovo: fwa dya mvumbi dya kwaku kansi dyambu dyandi kulendi dyo dya fwa ko","Podes herdar os bens de um morto, mas não podes apoderar-se da sua última vontade. A última vontade de um morto é sagrada e ninguém pode contrariá-la impunemente. «Apoderar-se da última vontade de um morto é tornar-se devedor de uma propriedade espiritual alheia, de que não se pode libertar nesta vida.»"
"Kikongo","Dya kwaku, nwa kwaku, kansi fulu kya leka ikibadidi","Yovo: DYA, NWA, KANSI FULU KYE LEKA IKIBADIDI.Pode comer, pode beber, mas o lugar onde dormir importa muito. Este provérbio mostra -que de entre as necessidades fisiológicas primárias como comer, beber, etc., o lugar para dormir importa mais."
"Kikongo","Dya kwa mene, makani nkokela","Quem quiser comer de manhã, deve fazer provisão na véspera. «O passado prepara o presente, e o presente prepara o futuro.»"
"Kikongo","Dya lundama, vova dya vinga","Um assunto adiado aguarda de ser debatido mais tarde. «Um assunto adiado é uma discussão adiada» ."
"Kikongo","Dya lunda, nzala lumvutu","Coma e poupa, a fome volta sempre. Poupar é a melhor prevenção para o futuro."
"Kikongo","Dya lunda toma kwatoma","Comer e conservar algo para amanhã é ser previdente. «Hoje é o pai da amanhã» (V. Delagr.)."
"Kikongo","Dyambu ditangininwangwa, muntu uyantikanga dyo","Um assunto que se imita começa sempre por um iniciador. «Há sempre um iniciador de uma coisa, pois nada deriva de nada»."
"Kikongo","Dyambu dyambote dilenda kituka se dya mbi eadya mbi dilenda kituka se dya dya mbote","Pelo seu uso, um bom assunto pode tornar-se mau, e um mau assunto pode tornar-se bom. A maneira de tratar os problemas pode transformar uma boa causa numa má, e uma má causa numa boa. «A causa mais santa muda-se em uma ímpia ou execrável, quando se usa crime para sustentá-la.»"
"Kikongo","Dyambu dyambote ku mfoko yovo: nkunga mbote ku mfoko","Tudo é bom quando acaba em bem (Shakespeare).«Se o mais difícil é começar, o mais importante é acabar bem.»"
"Kikongo","Dyambu dya mewanga za ndundu ye mbaka","É um caso intricado, devido à influência enigmática do albino e do anão, ambos misteriosos pela sua natureza. Este provérbio é utilizado por quem se depara com uma situação insóluta ou enigmática que merece ser tratada com muita cautela."
"Kikongo","Dyambu dyampa kadinanganga ko, dya nkulu dinanganga","A novidade de uma coisa não dura, só a sua antiguidade é que dura. Este provérbio significa que o que parece novo hoje perderá, já amanhã, o carácter de sua novidade e se tornará antigo com o tempo. «Não há um prodígio que dura mais de três dias.»"
"Kikongo","Dyambu dya mpitisa, ndembi zekola","Uma primeira exigência posta na resolução de um problema é sempre difícil a contornar. O provérbio indica que a falta de cumprimento dos compromissos acordados numa primeira discussão dificulta a solução do problema a resolver. «Uma coisa é prometer, mas outra coisa é cumprir»."
"Kikongo","Dyambu dya nkento ye yakala kadikotwangwa ko","KANA KOTA DYO SIDI YE NSONI.Num assunto entre mulher e marido não te metas, pois se te entremeteres, ficarás envergonhado.  «Brigas de namorados, amores renovados.»"
"Kikongo","Dyambu dyankulu dyampa dikumpfutumunanga","Um assunto antigo pode ser ressuscitado por um novo.Uma nova contenda pode ressuscitar uma antiga. «Por mais enterrado que pareça um passado, basta uma pouca coisa para o ressuscitar.» (Edouard Estaunié)"
"Kikongo","Dyambu dyavita dyeto, dyasukinina dyeto","Um assunto que antecede na ordem do dia é nosso, o que fica em última análise é também nosso. Usa-se este provérbio para afirmar a importância de um assunto esquecido na ordem de dia e conserva ainda a sua actualidade pelo que deve ser tratado em última análise."
"Kikongo","Dyambu idina mu kulu, kala mu koko nga nsasumwene dyo","O assunto agarrou-me pelas pernas, se fosse pelos braços, eu o teria sacudido. O provérbio exprime a impossibilidade de alguém de rejeitar a responsabilidade de um assunto que lhe diz respeito, embora constrangido pela falta dos meios necessários para o efeito."
"Kikongo","Dyambu kadiloswangwa ko","WALOSA DYO MU MAZA, KADIKUKULA KO. WALOSA DYO VA TIYA, KA DIVYA KO Yovo: DYAMBU DA DILOZWANGWA KO, WALOZA DYO MU MAZA, KADIKUKULA KO. WALOZA DYO VA TIYA KA DIVYA KO.Um problema não pode ser deitado fora. Se atirá-lo num rio, não será levado pela corrente de água, e se atirá-lo no fogo, não será queimado. Só debatendo um problema que se pode encontrar a sua devida solução, mais não contornando-lo."
"Kikongo","Dyambu kana yambula dyo, diyambwele, kana landa dyo dilende","Se te desinteressares de um assunto, o assunto desinteressar-se-á também de ti. Os problemas assumem apenas a importância que nós próprios lhes atribuirmos."
"Kikongo","Dyambu ndeko, mbizi nkonda","Para tratar um assunto, é preciso ter cautela e habilidade, para caçar um animal, é preciso estar alerta. O provérbio mostra que o sucesso de um assunto depende da maneira como é tratado. Como a precipitação pode prejudicar a caça, de igual modo, a falta de ordem e de habilidade pode comprometer o resultado de uma questão que, à primeira vista, pode parecer oportuna."
"Kikongo","Dya mu lungila, ka dya mu yukuta ko","O mais importante é que a comida chegue para todos e não que todos estejam repletos. - Numa manifestação de óbito, o mais importante é que a comida oferecida aos convidados chegue para todos. «Vale mais pouco do que nada» (Libanius)."
"Kikongo","E dyantete susa kya dezo, dya zole vilakana, dya tatu lukanu","Uma ofensa pode ser cometida por três vezes: uma primeira vez por acidente, uma segunda por esquecimento ou engano, e uma terceira por pura intenção. «Uma ofensa não pode ser cometida mais de duas vezes sob o mesmo pretexto de acidente ou de engano». Uma moça engravida-se pela primeira vez pela segunda vez é por sua própria vontade."
"Kikongo","Dyanga kyusu, wau didi nkanganzinzi","De todos os tipos de salalés que já comeste, este último salalé peçonhento será o teu golpe de misericórdia. O provérbio refere-se a um mal pior de entre todos os outros males que alguém já enfrentou."
"Kikongo","Dya tini, futa lusila","Tu recebeste uma parte de uma coisa, mas pagarás a totalidade. Quem danifica uma parte de um bem, restaurará todo o bem. «Quem parte velho, paga novo»."
"Kikongo","Dya vovwa kolo, dimbu nsi zameso","O que já foi dito, basta uma piscadela para ser relembrado. O provérbio quer dizer que um simples gesto ou uma olhadela pode fazer lembrar um acontecimento anterior, até mesmo uma combinação secreta."
"Kikongo","Dya vunda, vova vunda, sala vunda","Comer precisa de pausa, falar e trabalhar precisam também de pausa.Para tudo que é grande e bom na natureza, a sabedoria recomenda: moderação, moderação e ainda moderação."
"Kikongo","Dya wakayila nkaz'aku dyodyo kadilongeselwanga ko","«Coma e partilha a comida com o seu cônjuge.» Isso não se aconselha. Pedir a um marido de partilhar a comida com a sua mulher, seria forçar uma porta já aberta, pois, «há uma lei que ordena ao homem de acariciar a sua mulher, e à mulher de fazer o que deseja o seu esposo (Euripide), e, segundo a Bíbla, «quem ama a sua mulher, ama-se a si mesmo» (Efésios: 5:28)."
"Kikongo","Dya ye nkento, dya ye nkadi-ampemba","Comer com uma mulher é comer com um diabo. O exemplo vem de cima com a Dalila, que traiu seu marido Sansão, aos seus inimigos pela ambição de dinheiro.Sansão confiou nela e lhe revelou o seu segredo,"
"Kikongo","Dyodyo kazeye ko mfumiu, nganga zeye","O que ignora o chefe é sabido pelo curandeiro. Aqui, o curandeiro representa a pessoa interessada no assunto e o chefe é apenas o conselheiro que deve conhecer do acontecido para a sua solução."
"Kikongo","Dyodyo kuzeye ko i mputu","O que tu não sabes é a Europa. A Europa, mundo muito distante do Kongo, era sinónimo da incógnita de tudo quanto era desconhecido por aqueles que não podiam chegar à Europa. Assim, tudo que é desconhecido é representado pela Europa longinqua e desconhecida."
"Kikongo","Edya luku lwa nsakl ibãk'elaka","Comer a farinha de mandioca com as folhas de mandioca obriga a arranhar a garganta. As folhas de mandioca eram consideradas outrora como um dos mais pobres alimentos, e quem tivesse só essas para satisfazer a sua fome, devia se arranhar a garganta. Esta máxima é utilizada, quando alguém está confrontado com uma situação dificil em que é obrigado a dizer toda a verdade e só a verdade."
"Kikongo","E fomo (fumu) nkadi mu teka yo yangalala","Para vender o tabaco amargo, deve-se ser alegre. As más qualidades das coisas devem ser compensadas pelas qualidades morais ou pelo caracter jovial do possuidor ou vendedor."
"Kikongo","Enti tunzengele, efuti lengele","A árvore foi abatida, as folhas murcharam e tudo acabou. «O problema foi tratado, e a solução encontrada, pelo que a discussão pode ser considerada como terminada»."
"Kikongo","«E ntyetye, dila ngudi aku»! nzolele, kansi yani ntu utuka kinsanga ulutala","Ô carriça, chora a morte de tua mãe! Eu queria bem, mas vejam a exiguidade da cabeça donde sairiam as lágrimas. «Ninguém é obrigado a fazer o que não pode»."
"Kikongo","E nzambi unsadisi","NGEYE BENE UKISADISA.Deus, ajuda-me. Ajuda-te a ti mesmo. «Trabalha, que Deus te ajudará». «A quem madruga Deus ajuda»"
"Kikongo","E ungudi ungudi, kundia nzimbu ko","E NZIMBU NZIMBU KUNDIA UNGUDIKO.Família, família, não acabe com o meu dinheiro. Dinheiro, dinheiro, não destrua a minha família. «Amigos, amigos, negócios à parte». Riqueza e união familial são bênçãos divinas. A unidade da família e do dinheiro deve fazer a felicidade e não a miséria de todos."
"Kikongo","E ungudi ungudi, ku vondi longo lwame ko, e nkento, nkento, kuvondi ungudi wame ko","Família, família, não me separe da minha mulher. Mulher, mulher, não me divide da minha família. «Um homem divorciado é um homem infeliz por ter rompido a unidade com uma parte essencial de si próprio.»"
"Kikongo","«E yenga, umpan'e ntoto»","«MONO WOWO UNA KULONDE UYIVAVA.»Ravina, dá-me da tua terra. Mas a ravina responde: «Eu é quem precisa mais da tua terra que está em cima». O provérbio mostra a incongruidade de quem pede a um homem nu de vestir um outro homem esfarrapado ou andrajoso."
"Kikongo","Ezi zikokolanga ku maki zitukanga","Os galos que cantam começam nos ovos. «Grandes carvalhos germinam das balotas.»"
"Kikongo","Fu kia muntu ka kisobwangwa ko nze nlele","Não se muda o hábito de alguém como uma roupa. «É mais fácil mudar o curso de um rio do que o carácter de um homem.», «O lobo muda a pele mas não o vezo.»"
"Kikongo","Fu kya nkele, ku mputu kiatuka","É um defeito da fábrica (origem) da espingarda. O provérbio refere-se a um defeito congenital de alguém, difícil de ser corrigido por ser inerente à sua própria natureza."
"Kikongo","Fuma dya nzamba, kana wolesa dyo kizowa kyaku, kana yumisa dyo ngangu zaku","Se deixares apodrecer a tua porção de carne de elefante, isso demonstra a tua ignorância. Mas se a deixares secar, proverás a tua inteligência. Este provérbio distingue a prudência da negligência na protecção dos bens e outros interesses da vida, e mostra pelos referidos exemplos que «a prudência é mãe da segurança» enquanto que «a negligência é fonte de males maiores.»"
"Kikongo","Funda kufula vata kizitilanga","O fardo torna-se mais pesado na proximidade da aldeia. Diz-se de uma tarefa bem iniciada mas que se torna mais difícil ou impossível de ser levada ao bom termo quase no seu fim. Isto significa que «semear é menos penoso do que colher, pois as dificuldades aumentam à medida que se aproxima do fim.»"
"Kikongo","Futa kyalunda kaka, mvula kiwananga","A queima do capim, sempre adiada para mais tarde, pode coincidir com o período da chuva susceptível de impedi-la. Um assunto sempre adiado pode ser contrariado pelo surgimento de circunstâncias adversas. «Quem adia sempre de um dia para o outro encontra desgraça no caminho». Daí, «aproveite agir enquanto há tempo»."
"Kikongo","Fwa kwa mpungu, vila kwa yeto wantu","Uma suposta morte do espírito poderoso arrasta a morte de nós os vivos. Os homens, sem a protecção supra-natural, sentem-se perdidos. (R. Van Roy). Onde o Todo-Poderoso é dado por morto ou inexistente, o homem vivo deixa também de existir, pelo que se Deus não existisse, devia ser inventado para o bem-estar do homem e de tudo que existe. ."
"Kikongo","Fwa nsonl mona mpasi","A timidez faz sofrer. «Quem se faz de mel, abelhas o lambem»."
"Kikongo","Ikina va moko kilutidi ikina va lá","Mais vale um pássaro na mão que dois a voar. «Um ganho pequeno e seguro tem mais valia do que um grande e especulativo bem.»"
"Kikongo","Ikivondanga disu ka kikalanga kia nene ko","O que danifica o olho não é necessariamente grande coisa. «Não existem pequenos inimigos» (Pierre Gringore), «O que traz a desgraça não é grande» (G. T. Zona)."
"Kikongo","Imbwene wame, ikimwene ko mpe wame","Yovo: OYO MBWENE WAME, OYO KIMWENE KO MPE WAME.Quem vi hoje para me confortar é meu, e quem não vi é também meu. Os presentes de hoje podem ser os ausentes de amanhã e os ausentes de hoje podem ser os presentes de amanhã."
"Kikongo","Ivitidi ku nkoko katekanga mvunzu ko","Yovo: OY'OVITIDI KU NKOKO, KATEKANGA MVUNZU KO.Quem chega primeiro ao rio não bebe água turva. Os direitos de prioridade favorecem quem preceder em qualquer situação."
"Kikongo","Izolanga mbw'ame kakalanga va ntandu ka munsiko","Num combate, gosto de ver o meu cão sempre em cima e não em baixo do seu inimigo. «A luta dá ao triunfo o sabor da paixão, e a vitória embeleza a conquista.» (George Meredith)."
"Kikongo","Kala n'kambakani va kati kw'ambuta ye aleke","Sê um traço de união entre os mais velhos e os mais novos. «Quem é chefe seja uma ponte» (Th. Fuller)."
"Kikongo","Kala nzenze wakitendela ngeye mosi","Seja um grilo para estridular por si mesmo. Diz-se de alguém que deve falar por si próprio para defender o seu problema."
"Kikongo","Kala ye ntona zitobulanga yaka","Tenha ideias que furam as paredes. Isso quer dizer: «ser perspicaz»."
"Kikongo","Kalukumbi mbulu mu ntinu ko, ay anlende kan'avutuka ko","Não admirem a rapidez do lobo, pois os que foram persegui-lo ainda não voltaram. Antes de dar prova do facto, um pretensioso a um título é apenas «um rei de nome e não de facto», pois, só a prova confirma o mérito e destrói a presunção. «Ninguém cante vitória antes da batalha»."
"Kikongo","Kalunga yolela mu nteto","No mar, banha-se só na margem. Este provérbio aplica-se à familiaridade que se deve evitar com as sumidades políticas ou financeiras. «Fala do mar mas fica na terra». «A prudência ultrapassa as outras virtudes como a vista ultrapassa os outros sen-"
"Kikongo","Ka mamona umosiko","Uma situação difícil não é quinhão de um só indivíduo. As dificuldades são comuns a todos. Ninguém pode se julgar ser o único a sofrer."
"Kikongo","Ka minwana ko, yarwa unkuta wazolele","«A luta não será travada! É o que agrade aos medrosos. Esta máxima aplica-se a uma ameaça de luta que acaba de fracassar, facto que agrada aos tímidos que não estão dispostos de serem envolvidos nela. Uma luta impedida satisfaz os medrosos."
"Kikongo","Kamitalwangwa ko mpuku miawolelanga","Yovo: NTAMBU KAMITALWANGWA KO MPUKU MIEWODILANGA.As ratoeiras que não são controladas podem deixar apodrecer ratos. Quem não visita as suas ratoeiras, deixa apodrecer nelas seus ratos. Qualquer actividade que não é controlada torna-se deficiente. Dai a expressão: «quem não controla, não dirige»."
"Kikongo","Kana anda beta (wanda) mwana, kokolola","Yovo: KANA (SEMBA = SUNGUNA) MWANA, KOKOLOLASe bateres ou punires a criança, consola-a. «Se da mão direita tu bates a criança, da mão esquerda aperta-a no teu coração.» (Provérbio Yoruba)."
"Kikongo","Kana baka nsengo a mpa, ekudi kuloziko","Yovo: AVO BAKA NSENGO A MPA, KULOZI KO NSENGO A NKULU Se tiveres uma nova enxada, não deites a antiga. Se tiveres um novo amigo, não abandones o antigo."
"Kikongo","Kana bakasika zangula, kana koka umwivi","Se apanhares algo mostra-o, se o esconderes tu és um ladrão. Este provérbio significa que todo o bem ganho às claras enobrece, ao passo que o bem ganho às caladas é uma batota. «Em tudo, nobreza obriga.»"
