AKWENDA MALEMBE ATA MASAKUBA SUNGULA NGEYE UTA,Portuguese
KWEND'E NTINU.,Portuguese
correndo!,Portuguese
«More haste less speed». «Haste makes waste».,Portuguese
ALAMBI AYINGI MADIA AYIVISANGA.,Portuguese
"«Quando muitos homens envolvem-se num assunto, o resultado é uma confu-",Portuguese
são.» (L.& R. Flavel).,Portuguese
sion.» (L.& R. Flavel).,Portuguese
Flavel).,Portuguese
33,Portuguese
ALEK'AYOKANGA NDUNGU AKOVOLWESANG'AZITU.,Portuguese
"ALEKE, NTU MIA NZENZE KA MITWANGA MWAMBA KO.",Portuguese
adultos em geral..,Portuguese
sauce.,Portuguese
dients.,Portuguese
"Os adormecidos são homens activos, os despertados são homens cegos.",Portuguese
"mos profundamente adormecidos na cama.» Para G.S. Litchtenberg, «não dormi-",Portuguese
"mos somente para dormir, mas para agir», pois, segundo Eschyle, «o espírito",Portuguese
34,Portuguese
dine.»,Portuguese
ones.,Portuguese
tempo.,Portuguese
«Má erva cresce sempre».,Portuguese
temps.,Portuguese
«Mauvaise herbe croit toujours».,Portuguese
«Ill weeds grow apace».,Portuguese
35,Portuguese
AMBUTA ATUKANIKINA VO KATUDYE NKASA ZA NKUKUTU YOVO,Portuguese
WANDU WA NKUKUTU KO.,Portuguese
um preceito legado pela antiga sabedoria.,Portuguese
«O costume é o quinto elemento no universo» (Provérbio árabo).,Portuguese
AMBUTA KADI KUSISILA NZUNDU KO AVO KAMONT,Portuguese
"MPINU KO YOVO: AMBUTA ASISILA NZUNDU, MPINU AMONA.",Portuguese
Os velhos não te teriam investido da autoridade se não te tivessem julgado capaz,Portuguese
mas porque confiaram na tua sabedoria.,Portuguese
"Assim, foram escolhidos como seus dignos sucessores porque mostraram-se dig-",Portuguese
nos da sua confiança.,Portuguese
sis comme leurs dignes successeurs.,Portuguese
"O filho sofre da maldade do pai - ou quem se individa é o pai, mas quem paga",Portuguese
36,Portuguese
indirectamente através dos seus filhos.,Portuguese
vérbio Ashanti — citado por M.Maurois — Larousse).,Portuguese
sua mãe.,Portuguese
«Muitas vezes o pequeno javali paga pelos estragos do javali adulto» (prov. Dina-,Portuguese
marquês - R.Sha).,Portuguese
"«Os pais comeram uvas verdes, e os dentes dos filhos se embotaram» (Jerernía",Portuguese
31:29).,Portuguese
(Jéremie 31:29).,Portuguese
(prov. Danois — R.Sha).,Portuguese
(Jeremy 31:29).,Portuguese
verb — R.Sha).,Portuguese
"AN'ANGUDI AVATILA VA MOSI KANSI, E MWINGILU 1 MBUTA.",Portuguese
propriedades respectivas.,Portuguese
"«Sede irmãos na vida comum, mas estranhos nos negócios» (Prov.Árabe - Rosa Sha).",Portuguese
37,Portuguese
tos entre irmãos.»,Portuguese
ves.,Portuguese
— Rosa Sha).,Portuguese
perties.,Portuguese
Sha).,Portuguese
ANSIDIDI MBOLONGO YA TIYA VA MOKO.,Portuguese
Puseram-lhe uma beringela quente na mão .,Portuguese
"sante,",Portuguese
"ANTU OLE ANWANANGA, WA NTATU M'VAMBUDI.",Portuguese
reconciliador.,Portuguese
escocês — citado por M. Maloux — Larousse).,Portuguese
"«Quem pode mas não impede, peca» (Antoine Loisel).",Portuguese
réconciliateur.,Portuguese
38,Portuguese
"Os mensageiros são raros, os boateiros abundam.",Portuguese
«Más novas viajam depressa.»,Portuguese
«Bad news travel fast.»,Portuguese
"AVITA ASUKININA, ASUKININA AVITA,",Portuguese
Os primeiros serão os derradeiros e os derradeiros serão os primeiros (Mat. 20:16).,Portuguese
esforço sustentado em qualquer actividade importante da vida.,Portuguese
"AVITANGA ZIKA MVUMBI KIE NTU AZIKANGA YOVO AKANGANGA,",Portuguese
"AY'ASUKININANGA KIE MALU AZIKANGA,",Portuguese
os problemas subsequentes e pendentes do seu óbito.,Portuguese
"AVO KOVOLA, TAULA, E NTULU AKU IBOSI IVEVOKA.",Portuguese
"Se tossir, expectore, pois assim, os pulmões lhe serão aliviados.",Portuguese
nosso estado piorar. «Quem negligencia perde.»,Portuguese
lungs.,Portuguese
39,Portuguese
health worsen.,Portuguese
"AVO NSWA LEKELE, KUKAKI KO E NWA.",Portuguese
seu normal efeito.,Portuguese
effect.,Portuguese
"AVO MBIZI UKONDA, KUKOVODIKO.",Portuguese
"AVO NTELA WAVAVA, KUBATAMA KO AVO MONA FWANGIL.",Portuguese
"Se quiseres ser alto, não evitas o matagal.",Portuguese
"Se quiseres ser grande, não fujas aos incómodos da grandeza.",Portuguese
«Quem boa cama fizer nela se deitará.»,Portuguese
"AVO NTI WATEKAMA VANA KWA MBANGU KASINGIKA, ELONGI DIA",Portuguese
bom conselho é dado por um homem bom e sábio» (Pelo «Venerável» Simão,Portuguese
G. Toco).,Portuguese
40,Portuguese
ble» Simão G. Toco).,Portuguese
Simão G. Toco ).,Portuguese
"AVO TINA UTA TINA, YOVO LANDA ATAKULANDA, NDA SOTODINGI",Portuguese
IBOSI AKUYAMBULA.,Portuguese
em paz. .,Portuguese
"«Quem quiser guardar tudo, tudo perde.»",Portuguese
"AVO TOTA NTUMBU MU NZILA, MUNTU VITIDI MO SOTWELE YO.",Portuguese
cair.,Portuguese
laissé tomber .,Portuguese
AVO VANGA DYAKA DYAMBU DYAMBL NGIELE KUDIKISA NKASA KWA,Portuguese
outrem.,Portuguese
41,Portuguese
uma outra pessoa indefesa.,Portuguese
même.»,Portuguese
mother.,Portuguese
him.,Portuguese
"AV'OZOLA NKASA, MAFUNGUNUNU KUVONDIKO.",Portuguese
"Se desejares feijão, não mates os zangãos.",Portuguese
"«Onde há mel, há abelhas» e «não há rosas sem espinhos».",Portuguese
"AVO ZOLANTELA, KUTINI FWANGI KO.",Portuguese
"Se quiseres ser alto, não evitas o matagal.",Portuguese
"Se quiseres ser grande e honrado, não fujas aos incómodos da gradeza.",Portuguese
«Quem boa cama fizer nela se deitará.,Portuguese
ness.,Portuguese
"AVO WELE VATA, WENE WANTU ATELEMA, NGEYE MPE TELEMA, AVO",Portuguese
"AVWANDA, NGEYE MPE VWANDA.",Portuguese
pé também; se os encontrares sentados senta-te também.,Portuguese
"Este adágio é o equivalente do provérbio: «Em Roma, faz como os Romanos ou",Portuguese
"em Roma, sê romano.»",Portuguese
42,Portuguese
vérbio árabe — citado por M. Maurois — Larousse).,Portuguese
Romains.»,Portuguese
do.»,Portuguese
"AVO ZOLA TUNDA, KUKADI YE NTIMA BALA KO.",Portuguese
"«Doçura atrai, acridez repele» (H.V.Roy).",Portuguese
"«Douceur attire, aigreur effraie» (H.V.Roy).",Portuguese
"«Sweetness attracts, acridness frightens» (H.V.Roy).",Portuguese
"AWOLE WANTU, UMOSI NINGA.",Portuguese
"Dois são um grupo, um só é uma sombra.",Portuguese
"AYA BENA YE MENO, MASANGU NKATU, AYA BENA YE MASANGU",Portuguese
MENO NKAIU.,Portuguese
43,Portuguese
AY'AKWENDA MALEMBE ATA SAKUBA SUNGUNA YENO NUKWENDA,Portuguese
"NTINU, yovo AKWENDA MALEMBE ATA SAKUBA, SUNGUNA ENO",Portuguese
LUKWENDA NTINU.,Portuguese
rant!,Portuguese
certainly stumble. -,Portuguese
AY'AVWIDI NSINGU NSANGA NKATU. Y'AVWIDI NSANGA NSINGU NKATU.,Portuguese
"Segundo Jerome K. Jerome, isso acontece porque existe neste mundo este princí-",Portuguese
their neighbours happy.»,Portuguese
B,Portuguese
silêncio o condena.,Portuguese
"«Quem cala consente, e quem consente é cúmplice.»",Portuguese
Je condamne.,Portuguese
BABA KA LUNGANGA NKANU KO. ',Portuguese
Uma palmeira espinhosa é trepada só por um homem audacioso.,Portuguese
nos seguintes termos graves mas também suaves e encorajadores: «o caminho da,Portuguese
Figueiredo).,Portuguese
cience).,Portuguese
BÁ KANA DIVIDI ETUKU NSÍNGA.,Portuguese
«Não há efeito sem causa».,Portuguese
45,Portuguese
"BONGA NONA KIE VULUKILA MUNTU, KA NONA KIE FWILA",Portuguese
MUNTUKO.,Portuguese
judicou.,Portuguese
ruiné.,Portuguese
"BUNDA NTULU, NTULU WOBOKA.",Portuguese
46,Portuguese
description,language
D,Portuguese
"DIDI NKEKA, BUNDU YA NKEKA NANI DIDI YO?",Portuguese
consequências do mal cometido.,Portuguese
"«Quem aceita o principal, aceita também o secundário»,",Portuguese
DIDI ZASONGO E ZA YANGA ZINLAKILU.,Portuguese
vantajosa menos segura.,Portuguese
"O gafanhoto é uma comida vergonhosa, mas torna-se importante quando é",Portuguese
bem coberta.,Portuguese
(Oscar Wilde).,Portuguese
bien couverte.,Portuguese
well covered.,Portuguese
47,Portuguese
(Oscar Wilde).,Portuguese
DILA MU MESO KAKUTOMANGA KO.,Portuguese
DILU KA MVULUZI KO.,Portuguese
mes.»,Portuguese
"DINSUSU-NSUSU NKETE DITA NSUNGA, MUNTU NIKWENE DIO.",Portuguese
alguém.,Portuguese
"como lindas flores, dos seus botões.",Portuguese
"do, não exala perfume» (prov. Malaio — R. Sha).",Portuguese
someone.,Portuguese
48,Portuguese
burnt» (Malayan proverb — R. Sha).,Portuguese
DISU DIFWIDI NKOKELA (MASIKA) DIELE BETELA YE KILU.,Portuguese
caída da noite.,Portuguese
presença pode lhe ser favorável.,Portuguese
DIVENGE NKWENO AVO KU VENGE DIOKO MENO NGANI.,Portuguese
«Viva e deixe viver».,Portuguese
"DYA KANA KUTUKA MPAKA, MAZOWA ADIDIKO.",Portuguese
49,Portuguese
DYAKI DIMOSI DYAWOLA DI FWASANGA MAKI MAMENGI.,Portuguese
Um ovo podre contamina muitos ovos frescos.,Portuguese
O mau exemplo é contagioso e estraga muita gente.,Portuguese
DYAKI DINA MU NWA DILUTIDI NSUSU INA KUNA SANZI.,Portuguese
"DYA KUSWAMANGA, MAMBU KA MASWAMANGA KO.",Portuguese
«News runs like wildfire».,Portuguese
"DYA KU ZANDU, MBALU KU VATA.",Portuguese
«Todo prazer paga-se em seu devido tempo».,Portuguese
so,Portuguese
"DYA KWAKU FWA DYA MVUMBI, KANSI DYAMBU DIANDI KULENDI",Portuguese
DYO DYA FWA KO YOVO: FWA DYA MVUMBI DYA KWAKU KANSI,Portuguese
DYAMBU DYANDI KULENDI DYO DYA FWA KO.,Portuguese
vontade.,Portuguese
«O testamento do morto é o espelho da sua vida» (Provérbio polaco).,Portuguese
ment.,Portuguese
"DYA KWAKU, NWA KWAKU, KANSI FULU KYA LEKA IKIBADIDI.",Portuguese
"Yovo: DYA, NWA, KANSI FULU KYE LEKA IKIBADIDI.",Portuguese
"Pode comer, pode beber, mas o lugar onde dormir importa muito.",Portuguese
important.,Portuguese
"human physiclogical needs, like eating, drinking, etc.",Portuguese
51,Portuguese
"DYA KWA MENE, MAKANI NKOKELA.",Portuguese
"«O passado prepara o presente, e o presente prepara o futuro.»",Portuguese
"DYA LUNDAMA, VOVA DYA VINGA.",Portuguese
«Um assunto adiado é uma discussão adiada» .,Portuguese
Larousse).,Portuguese
"DYA LUNDA, NZALA LUMVUTU.",Portuguese
"DYA LUNDA TOMA KWATOMA,.",Portuguese
Comer e conservar algo para amanhã é ser previdente.,Portuguese
«Hoje é o pai da amanhã» (V. Delagr.).,Portuguese
DYA MBIMBU OSILA VOVO Yovo: DYA NDOFI Yovo SYA NSILU WASILA,Portuguese
VOVO.,Portuguese
sempre.,Portuguese
s2,Portuguese
"DYAMBU DITANGININWANGWA, MUNTU UYANTIKANGA DYO.",Portuguese
DYAMBU DYAMBOTE DILENDA KITUKA SE DYA MBI EADYA MBI,Portuguese
DILENDA KITUKA SE DYA DYA MBOTE.,Portuguese
"Pelo seu uso, um bom assunto pode tornar-se mau, e um mau assunto pode",Portuguese
tornar-se bom.,Portuguese
uma má causa numa boa.,Portuguese
devenir bonne.,Portuguese
DYAMBU DyAMBOTE KU MFOKO YOVO: NKUNGA MBOTE KU MFOKO.,Portuguese
Tudo é bom quando acaba em bem (Shakespeare).,Portuguese
work.»,Portuguese
53,Portuguese
DYAMBU DYA MEWANGA ZA NDUNDU YE MBAKA.,Portuguese
ambos misteriosos pela sua natureza.,Portuguese
Este provérbio é utilizado por quem se depara com uma situação insóluta ou,Portuguese
"DYAMBU DYAMPA KADINANGANGA KO, DYA NKULU DINANGANGA.",Portuguese
«No wonder lasts more than three days.»,Portuguese
"DYAMBU DYA MPITISA, NDEMBI ZEKOLA.",Portuguese
contornar.,Portuguese
"«Uma coisa é prometer, mas outra coisa é cumprir».",Portuguese
54,Portuguese
DYAMBU DYA NKENTO YE YAKALA KADIKOTWANGWA KO. KANA,Portuguese
KOTA DYO SIDI YE NSONI.,Portuguese
"Num assunto entre mulher e marido não te metas, pois se te entremeteres, fica-",Portuguese
rás envergonhado.,Portuguese
"«Entre marido e mulher, só Deus é juiz» (Prov. Russo).",Portuguese
honte.,Portuguese
DYAMBU DYANKULU DYAMPA DIKUMPFUTUMUNANGA.,Portuguese
Um assunto antigo pode ser ressuscitado por um novo.,Portuguese
Uma nova contenda pode ressuscitar uma antiga.,Portuguese
suscitar.» (Edouard Estaunié),Portuguese
ter.» (Edouard Estaumé).,Portuguese
"DYAMBU DYAVITA DYETO, DYASUKININA DYETO.",Portuguese
se é também nosso.,Portuguese
última análise.,Portuguese
55,Portuguese
"DYAMBU IDINA MU KULU, KALA MU KOKO NGA NSASUMWENE DYO.",Portuguese
"O assunto agarrou-me pelas pernas, se fosse pelos braços, eu o teria sacudido.",Portuguese
necessários para o efeito.,Portuguese
"DYAMBU KADILOSWANGWA KO. WALOSA DYO MU MAZA,",Portuguese
"KADIKUKULA KO. WALOSA DYO VA TIYA, KA DIVYA KO Yovo:",Portuguese
"DYAMBU DA DILOZWANGWA KO, WALOZA DYO MU MAZA,",Portuguese
KADIKUKULA KO. WALOZA DYO VA TIYA KA DIVYA KO.,Portuguese
"Um problema não pode ser deitado fora. Se atirá-lo num rio, não será levado",Portuguese
contornando-lo.,Portuguese
out.,Portuguese
"DYAMBU KANA YAMBULA DYO, DIYAMBWELE, KANA LANDA DYO",Portuguese
DILENDE.,Portuguese
"DYAMBU NDEKO, MBIZI NKONDA.",Portuguese
"Para tratar um assunto, é preciso ter cautela e habilidade, para caçar um ani-",Portuguese
"mal, é preciso estar alerta.",Portuguese
56,Portuguese
"meira vista, pode parecer oportuna.",Portuguese
sight.,Portuguese
"DYA MU LUNGILA, KA DYA MU YUKUTA KO.",Portuguese
repletos. -,Portuguese
convidados chegue para todos.,Portuguese
rassasiés.,Portuguese
replete.,Portuguese
"E DYANTETE SUSA KYA DEZO, DYA ZOLE VILAKANA, DYA TATU",Portuguese
LUKANU.,Portuguese
"Uma ofense pode ser cometida por três vezes: uma primeira vez por acidente,",Portuguese
"uma segunda por esquecimento ou engano, e uma terceira por pura intenção.",Portuguese
Uma moça engravida-se pela primeira vez pela segunda vez é por sua própria,Portuguese
vontade.,Portuguese
intention.,Portuguese
prétexte d'accident ou d'oubli.,Portuguese
57,Portuguese
"DYANGA KYUSU, WAU DIDI NKANGANZINZI.",Portuguese
enfrentou.,Portuguese
ait déjà affrontées. .,Portuguese
so far endured.,Portuguese
"DYA TINI, FUTA LUSILA.",Portuguese
"«Quem parte velho, paga novo».",Portuguese
"DYA VOVWA KOLO, DIMBU NSI ZAMESO.",Portuguese
"um acontecimento anterior, até mesmo uma combinação secreta.",Portuguese
secret understanding.,Portuguese
58,Portuguese
"DYA VUNDA, VOVA VUNDA, SALA VUNDA.",Portuguese
moderação e ainda moderação.,Portuguese
"Com efeito, mesmo Deus, na sua omnipotência, omnisciência e omnipresença,",Portuguese
"ceuvre, selon Gén. 1:1-31, 2:1-3. .",Portuguese
DYA WAKAYILA NKAZ'AKU DYODYO KADILONGESELWANGA KO.,Portuguese
pas.,Portuguese
sa femme s'aime lui-même» (Ephésiens 5:28).,Portuguese
59,Portuguese
"DYA YE NKENTO, DYA YE NKADI-AMPEMBA.",Portuguese
Comer com uma mulher é comer com um diabo.,Portuguese
"«Mulher, coisa volúvel por natureza» (prov. Italiano).",Portuguese
"DYODYO KAZEYE KO MFUMIU, NGANGA ZEYE.",Portuguese
so,Portuguese
EDYA LUKU LWA NSAKL IBÃK'ELAKA.,Portuguese
garganta.,Portuguese
garganta.,Portuguese
"Esta máxima é utilizada, quando alguém está confrontado com uma situação difi-",Portuguese
afterwards.,Portuguese
E FOMO (FUMU) NKADI MU TEKA YO YANGALALA.,Portuguese
"Para vender o tabaco amargo, deve-se ser alegre.",Portuguese
pelo caracter jovial do possuidor ou vendedor.,Portuguese
«Se não sabe sorrir não abra uma loja».,Portuguese
"E KANDA KANDA, KU VONDI LONGO LWAME KO.",Portuguese
"E LONGO LONGO KU VONDI UNGUDI WAME KO, YOVO:",Portuguese
"E UNGUDI UNGUDI, KU VOBNDI KO",Portuguese
"LONGO LWAME; E NKENTO, NKENTO, KUVONDI KO UNGUDI WAME.",Portuguese
minha família.,Portuguese
61,Portuguese
membros das suas respectivas famílias para uma vida familial harmoniosa. «Um,Portuguese
homem divorciado é um homem infeliz».,Portuguese
"Family, family, don't destroy my matrimony. Wife, wife, don't destroy my family.",Portuguese
"E MBONGO, E MBONGO, PÍ-f! E MUNTU, E MUNTU, KONGO",Portuguese
(YOVO = INGETA = KALUNGA).,Portuguese
"Dinheiro, dinheiro, sem resposta. Homem, homem, aqui estou!",Portuguese
"Quando se chama o dinheiro, ele não responde; mas quando se chama o homem,",Portuguese
ele responde: presente.,Portuguese
feito para o homem mas o hornem não foi feito para o dinheiro..,Portuguese
«here Lam».,Portuguese
62,Portuguese
"ENTI TUNZENGELE, EFUTI LENGELE.",Portuguese
considerada como terminada».,Portuguese
rée comme terminée».,Portuguese
"«E NTYETYE, DILA NGUDI AKU»! NZOLELE, KANSI YANI NTU UTUKA",Portuguese
KINSANGA ULUTALA.,Portuguese
E NZAMBI UNSADISI. NGEYE BENE UKISADISA.,Portuguese
"Dieu, aide-moi. «Aide-toi toi-même».",Portuguese
"God, help me. «Help yourself».",Portuguese
«God helps those who help themselves».,Portuguese
"E UNGUDI UNGUDI, KUNDIA NZIMBU KO. E NZIMBU NZIMBU KUNDIA",Portuguese
UNGUDIKO.,Portuguese
Riqueza e união familial são bênçãos divinas.,Portuguese
todos.,Portuguese
"Famille, famille, n'anéantit pas ma richesse. Argent, argent, ne détruit pas ma",Portuguese
famille.,Portuguese
63,Portuguese
famille.,Portuguese
"Family, family, don't waste my money. Money, money, don't destroy my family.",Portuguese
"E UNGUDI UNGUDI, KU VONDI LONGO LWAME KO, E NKENTO,",Portuguese
"NKENTO, KUVONDI UNGUDI WAME KO.",Portuguese
"Família, família, não me separe da minha mulher. Mulher, mulher, não me",Portuguese
divide da minha família.,Portuguese
"«E YENGA, UMPAN'E NTOTO». «MONO WOWO UNA KULONDE",Portuguese
UYIVAVA.»,Portuguese
outro homem esfarrapado ou andrajoso.,Portuguese
"bolsos, pois, seria lhe pedir o impossível».",Portuguese
64,Portuguese
EZI ZIKOKOLANGA KU MAKI ZITUKANGA.,Portuguese
«Grandes carvalhos germinam das balotas.»,Portuguese
«Usa e serás mestre.»,Portuguese
«Practice makes perfect.»,Portuguese
65,Portuguese
F,Portuguese
FU KIA MUNTU KA KISOBWANGWA KO NZE NLELE.,Portuguese
"FU KYA NKELE, KU MPUTU KIATUKA,",Portuguese
É um defeito da fábrica (origem) da espingarda. o,Portuguese
"FUMA DYA NZAMBA, KANA WOLESA DYO KIZOWA KYAKU, KANA",Portuguese
YUMISA DYO NGANGU ZAKU.,Portuguese
«negligence causes great harm.»,Portuguese
67,Portuguese
FUNDA KUFULA VATA KIZITILANGA.,Portuguese
do fim.»,Portuguese
"FUTA KYALUNDA KAKA, MVULA KIWANANGA,",Portuguese
cias adversas.,Portuguese
"Dai, «aproveite agir enquanto há tempo».",Portuguese
tances défavorables.,Portuguese
adverse circumstances which can arise unexpectedly.,Portuguese
"FWA KWA MPUNGU, VILA KWA YETO WANTU.",Portuguese
"Onde o Todo-Poderoso é dado por morto ou inexistente, o homem vivo deixa",Portuguese
68,Portuguese
Men without divine protection feel insecure. (R. Van Roy).,Portuguese
consequences.,Portuguese
FWA NSONL MONA MPASI.,Portuguese
Timidity causes pain.,Portuguese
69,Portuguese
description,language
IKINA VA MOKO KILUTIDI IKINA VA LÁ.,Portuguese
Fontaine).,Portuguese
IKIVONDANGA DISU KA KIKALANGA KIA NENE KO.,Portuguese
«Não existem pequenos inimigos» (Pierre Gringore).,Portuguese
"IMBWENE WAME, IKIMWENE KO MPE WAME.",Portuguese
"Yovo: OYO MBWENE WAME, OYO KIMWENE KO MPE WAME.",Portuguese
"Quem vi hoje para me confortar é meu, e quem não vi é também meu.",Portuguese
also mine.,Portuguese
IVITIDI KU NKOKO KATEKANGA MVUNZU KO.,Portuguese
"Yovo: OY'OVITIDI KU NKOKO, KATEKANGA MVUNZU KO.",Portuguese
Quem chega primeiro ao rio não bebe água turva.,Portuguese
"IVWIDI NKUMBI ANDI MADIOKO KADILA YO, NGEYE VO LUKU",Portuguese
KAK' E?,Portuguese
tient. o,Portuguese
property.,Portuguese
IZOLANGA MBW'AME KAKALANGA VA NTANDU KA MUNSIKO.,Portuguese
inimigo.,Portuguese
Meredith).,Portuguese
quête.» (George Meredith).,Portuguese
enemy.,Portuguese
72,Portuguese
K,Portuguese
KALA N'KAMBAKANI VA KATI KW'AMBUTA YE ALEKE.,Portuguese
«Quem é chefe seja uma ponte» (Th. Fuller).,Portuguese
como teu filho» (Prov. Persa — R.Sha).,Portuguese
your son» (Persan prov.).,Portuguese
KALA NZENZE WAKITENDELA NGEYE MOSI.,Portuguese
Seja um grilo para estridular por si mesmo.,Portuguese
KALA YE NTONA ZITOBULANGA YAKA.,Portuguese
Isso quer dizer: «ser perspicaz».,Portuguese
"KALUKUMBI MBULU MU NTINU KO, AY ANLENDE KAN'AVUTUKA KO.",Portuguese
«Ninguém cante vitória antes da batalha».,Portuguese
73,Portuguese
back yet.,Portuguese
KALUNGA YOLELA MU NTETO.,Portuguese
"No mar, banha-se só na margem.",Portuguese
«Fala do mar mas fica na terra»,Portuguese
vérbio escocês).,Portuguese
écossais).,Portuguese
proverb).,Portuguese
KA MAMONA UMOSIKO.,Portuguese
"KA MINWANA KO, YARWA UNKUTA WAZOLELE.",Portuguese
74,Portuguese
Uma luta impedida satisfaz os medrosos.,Portuguese
KAMITALWANGWA KO MPUKU MIAWOLELANGA.,Portuguese
Yovo: NTAMBU KAMITALWANGWA KO MPUKU MIEWODILANGA.),Portuguese
"KANA ANDA BETA (WANDA) MWANA, KOKOLOLA.",Portuguese
"Yovo: KANA SEMBA = SUNGUNA) MWANA, KOKOLOLA,",Portuguese
(Provérbio Yoruba).,Portuguese
coeur.» (Proverbe Yoruba).,Portuguese
"KANA BAKAMA MU KOKO, LENDA VULUKA, KANA BAKAMA",Portuguese
MU NWA VONZAI,Portuguese
é perigoso.,Portuguese
"Os erros cometidos pela boca são dificilmente perdoáveis; portanto, sejam pru-",Portuguese
dentes nas suas palavras.,Portuguese
75,Portuguese
when talking.,Portuguese
"Se tiveres um novo amigo, não abandones o antigo.",Portuguese
"KANA (BAKASIKA ZANGULA, KANA KOKA UMWIVI.",Portuguese
"Se apanhares algo mostra-o, se o esconderes tu és um ladrão.",Portuguese
"bem ganho às caladas é uma batota. «Em tudo, nobreza obriga.»",Portuguese
dishonestly debases.,Portuguese
"KANA BWA TELAMA, VO KUTELEMENE KO WENDELELE.",Portuguese
"Se caíres, levanta-te, se não te levantares, ficarás um homem derrotado.",Portuguese
"pois, «caímos para nos levantar, somos repelidos para melhor combater, e dormi-",Portuguese
76,Portuguese
"Dai, «cair é permitido mas é ordenado erguer-se (Prov. Russo - R.Sha).",Portuguese
"KANA DYA, KANA DYA, TUBILA NSIKYANDU.",Portuguese
"KANA DYA MWAMBA NKAYI, INKAYI DIDI.",Portuguese
"Quem comeu o molho do antílope, comeu também o antilope.",Portuguese
"não há pequenos e grandes pecados. Logo: «quem boa cama fizer, nela se deita».",Portuguese
77,Portuguese
"KANA DIBWA MPAKA, DIWUTA MBIMBA, YUVULA MBUTA.",Portuguese
"Quando estiveres em sérios apuros, consulta um velho.",Portuguese
"pelos seus conselhos, como sair deste imbróglio.",Portuguese
"KANA KAILA NAN'KUSU, KAILA NAMBENDE.",Portuguese
"Se oferecer ao rato-n'kusu, ofereça também ao rato-mbende.",Portuguese
"Na atribuição dos favores, não se deve preferir uns protegidos em detrimento dos",Portuguese
LUYUVUDYANA.,Portuguese
"Se estiveres sozinho, consulta o teu coração; se estiverdes dois, tomai conselho",Portuguese
um do outro.,Portuguese
ENGI ENA. IDIANO UKISAKIDIKA KANSI KUKIVWEZI KO.,Portuguese
"Se fores inteligente, não seja vaidoso, pois os homens inteligentes são legião.",Portuguese
"Por isso, humilha-te sem contudo te desprezar.",Portuguese
do» (Lucas 14:11).,Portuguese
78,Portuguese
"Humilie-toi, sans cependant te mépriser.",Portuguese
«Humility precedes glory» (Proverbs 15:33).,Portuguese
"KANA KA NKATA IBWIDI KO, E VUNDU MPE VA KITOMENE Yovo IVA",Portuguese
