description,language
"WAN'WUTA WANYAMBULA, WANSOPA WANKWAMINA.",Portuguese
"O pai que casa a sua filha liberta-a, e o marido que se casa com ela torna-se o",Portuguese
seu responsável. :,Portuguese
Este provérbio deriva da ordem divina sobre o casamento: «O varão deixará o seu,Portuguese
"pai e a sua mãe, e apegar-se-á à sua mulher, e serão ambos uma came» (Gen. 2:24),",Portuguese
Le pêre qui marie sa fille 'émancipe et le mari qui I'épouse s'en devient le res-,Portuguese
ponsable.,Portuguese
Ce proverbe dérive de I'ordre divin sur le mariage: «!homme quittera son pêre et,Portuguese
"sa mêre, et s“attachera à sa femme, et ils deviendront une seule chair» (Gen. 2:24).",Portuguese
The father who marries her daughter emancipates her from his control and the,Portuguese
husband which get married with her become her protector.,Portuguese
This proverb derives from the divine order about wedding: «The man will leave,Portuguese
his father and mother and will be united to his wife and they will become one,Portuguese
flesh» (Gen. 2:24).,Portuguese
"OVOVELA VANDONGA, NTU ANDI KAKUTULA,",Portuguese
"Quem fala em público, liberta a sua cabeça.",Portuguese
Uma declaração ou uma confissão pública alivia e liberta a consciência.,Portuguese
Celui qui parle en public libêre sa tête.,Portuguese
Une déclaration ou une confession publique soulage et libêre la conscience.,Portuguese
He who speaks in public frees up his head.,Portuguese
A public declaration or confession alleviates and relieves one's mind.,Portuguese
"OYO KAKABUKANGA KO, YANDI KAYEDL, YANDI KALUNGI (YANI",Portuguese
KANUNGI.,Portuguese
"Quem nunca se aventura: nem perde, nem vence.",Portuguese
"«Quem fica sentado seca, quem vai lambe». Segundo o Pe. António Vieira, «vale",Portuguese
mais temer um exército de ovelhas comandadas por um leão que um exército de,Portuguese
"leões comandados por una ovelha»: Um é audacioso, o outro é tímido.",Portuguese
Qui ne s'aventure jamais ne perd ni ne vainc.,Portuguese
"«Qui reste assis sêche, qui va lêche». Selon le Pêre António Vieira, il vaut mieux",Portuguese
292,Portuguese
craindre une armée de brebis commandées par un lion qu'une armée de lions,Portuguese
"commandés par une brebis»: I'un est audacieux, 'autre est timide.",Portuguese
He who does not venture shall not either lose or win.,Portuguese
"«He who remains sitting doesn't dry up, and he who goes licks». According to",Portuguese
"father António Vieira, «it is better to fear an army of ship led by a lion than an",Portuguese
"army of lions led by a ship»: one is audacious, the other is timid.",Portuguese
"OY'OKANGALA YE MBENDO, OYENDA KO NDÁ.",Portuguese
Quem viaja com um porta-carga vai longe.,Portuguese
O Mbendo ou porta-carga é uma espécie de alavanca que tem um buraco ou,Portuguese
"ponto de apoio, no qual se encaixa um bastão que sustenta o fardo quando o por-",Portuguese
tador levanta ou transfere uma parte do fardo da cabeça ou do ombro sobre o ala-,Portuguese
"vanca que assim partilha o peso com ele e lhe permite repousar, de pé, o tempo",Portuguese
necessário para se recuperar da fatiga. O mbendo ou porta-carga simboliza por-,Portuguese
"tanto um meio mecánico, que serva, para aliviar-se de vez em quanto, da pressão",Portuguese
de uma actividade cansativa.,Portuguese
"Para mostrar a importância de um tal ponto de apoio, Archimedes matemático e",Portuguese
"físico grego, exclamou uma vez e disse: «Dê-me um ponto de apoio e levantarei o",Portuguese
universo» (Arquimedes).,Portuguese
Qui voyage avec le mbendo ou porte-fardeau va loin.,Portuguese
Le Mbendo ou porte-fardeau est une espêce de levier pourvu d'un trou ou point,Portuguese
"d'appui, ou entre un bâton qui soutient le fardeau lorsque le porteur soulêve ou",Portuguese
transfert une partie du fardeau de la tête ou de I'épaule sur ce levier qui partage,Portuguese
"ainsi le poids avec lui et lui permet de ce fait de se reposer, tout debout, le temps",Portuguese
nécessaire pour se récupérer de sa fatigue. Le Mbendo ou porte-fardeau symbo-,Portuguese
lise ainsi tout moyen mécanique qui peut servir de diminuer toute pression d'une,Portuguese
activité harassante.,Portuguese
"Pour montrer l'importance de ce point d'appui, le mathématicien et physicien",Portuguese
"grec, Archimêde, sexclama une fois, en disant: «Donnez-moi un point d'appui et",Portuguese
je soulêverai I'univers» (Archimêde),Portuguese
"He who travels with a mbendo, a lever with a fulcrum or load-holder, goes far.",Portuguese
The mbendo or burden-holder is a sort of a lever provided with a hole or fulcrum,Portuguese
"or point of support, into which a staff enters and supports the load when the",Portuguese
"porter raises, moves or transfers it from his head or shoulder to the fixed point",Portuguese
from which the lever shares the weight with th porter and enables him to recover,Portuguese
his energy and give continuity to a tiresome activity.,Portuguese
"To show the importance of this lever and its pont of support, Archimedes, a",Portuguese
"mathematician and physicist Greek, who descovered the principles of lever and of",Portuguese
"gravity, exclaimed once saying:",Portuguese
«Give-me a fulcrum (a point of support) and I'll lift the universe» (Archimedes).,Portuguese
"OYO KATWELE NLELE KAMWENE NSONI KO, OYO UKUNTALA",Portuguese
KAMONA MPE NSONIKO.,Portuguese
"Se quem se despede não tem vergonha, também quem o olhar não terá vergonha.",Portuguese
A impudência é paga na mesma moeda.,Portuguese
293,Portuguese
"Si celui qui se déshabille n'a pas honte, celui qui le regardera n'aura pas honte",Portuguese
non plus.,Portuguese
On rend à I'homme effronté la monnaie de sa piêce.,Portuguese
"If he who takes off one's ciothe is not ashamed, he who will look to him will",Portuguese
not be ashamed either.,Portuguese
An impudent man is paid back in his own coin.,Portuguese
"OY'OMENGA, DIMBU NSIZA MESO.",Portuguese
"Quem te odeia, te olha de esguelha.",Portuguese
O provérbio indica que tu podes encontrar manifestações dissimuladas da parta,Portuguese
de quem tiver rancor contra ti.,Portuguese
"Qui vous hait, vous regarde de travers.",Portuguese
Le proverbe indique que tu peux rencontrer des manifestations dissimulées de la,Portuguese
part de celui nourrit une rancoeur contre toi.,Portuguese
"He who hates you, looks askance at you.",Portuguese
This saying indicates that you can find dissimilated manifestations from that who,Portuguese
hates you.,Portuguese
"OYO SIMBIDI KUMVINI MBUTA, ISIMBIDI KUMENO NKÉ (NLEKE).",Portuguese
Quem segura uma faca pelo seu cabo tem mais vantagem que aquele que a,Portuguese
segura pelo gume.,Portuguese
Este provérbio indica que quem maneja um assunto perigoso pode ser mais vul-,Portuguese
nerável do que aquele que trata de uma situação pacífica.,Portuguese
Celui qui tient le couteau par sa manche est plus avantagé que celui qui le,Portuguese
tient par le tranchant.,Portuguese
Ce proverbe indique que celui qui traite d'une affaire dangereuse peut être plus,Portuguese
vulnérable que celui qui traite d'une situation pacifique.,Portuguese
He who holds the knife by its handle is in better condition than he who han-,Portuguese
dles it by its edge.,Portuguese
This saying means that he who manages a dangerous business may be more vul-,Portuguese
nerabie than that who deals with a peaceful situation.,Portuguese
"OYO USWAMINI KU FUTA NKE, OYO USWAMINI KU MBUNDU MBUTA",Portuguese
(LUTIDN.,Portuguese
"Quem se-lhe escondeu na mata é pouco seguro, do que quem se escondeu no",Portuguese
coração.,Portuguese
«O fundo do coração é mais longinquo do que o fim do mundo».,Portuguese
Celui qui s'est caché dans la brousse est moins sâr que celui qui s'est caché,Portuguese
dans le coeur.,Portuguese
«Le fond du coeur est plus loin que le bout du monde».,Portuguese
He who's hidden in the bush is less secure than he who's hidden in his heart.,Portuguese
«The bottom of the heart is farther than the end of the world».,Portuguese
294,Portuguese
OY'OYUVULA KADYA KYA MBIKO (KYE MBIKO).,Portuguese
Quem pergunta não coma coisa má.,Portuguese
«Boca que fala não fica esfomeada» (Prov. Turco — R. Sha).,Portuguese
Celui qui se renseigne ne mange pas une chose mauvaise.,Portuguese
«La bouche qui parle ne reste pas affamée» (Prov. Turc - R. Sha).,Portuguese
"He who asks for information doesn't eat bad thing,",Portuguese
«The mouth which speaks doesn't remain hungry» (Turkish proverb — R. Sha),Portuguese
OYUVULA KAVILA KO.,Portuguese
Quem pergunta não se perde.,Portuguese
"«Quem tem a sua língua, a Roma vai». «Quem pede conselho transpõe a mon-",Portuguese
tanha; quem não o pede extravia-se mesmo na planície» (Prov. Turco — R. Sha).,Portuguese
Qui demande ne se perd pas.,Portuguese
"«Qui langue a, à Rome va. «Qui demande conseil transpose une montagne; qui",Portuguese
ne le demande pas s'égare même dans la plaine» (Proverbe turc— R. Sha),Portuguese
He who asks doesn't get lost.,Portuguese
"«Who has his tongue, gets to Roma». «He who seeks advice removes a mountain;",Portuguese
"he who does not seek it, gets lost even in the plain» (Turkish proverb — R. Sha).",Portuguese
295,Portuguese
S,Portuguese
SADILA NTANGU KADI MALAWU KAMAVUTUK ANGA KUNIMA KO.,Portuguese
"Aproveita o tempo presente, pois as oportunidades nunca se repetem.",Portuguese
«É bom malhar enquanto o ferro está quente».,Portuguese
"Profitez du temps, car les opportunités ne se répêtent jamais.",Portuguese
«Il faut battre le fer quand il est chaud».,Portuguese
"Avail yourself of the time, because opportunities don't come back any more.",Portuguese
«Better to strike the iron while it is hot».,Portuguese
SAKUBA DYA KULU DIWETE KASAKUBA DYA NWA KO.,Portuguese
Uma escorregadela do pé é melhor do que uma da língua.,Portuguese
"«Uma escorregadela da língua é mais perigosa do que a do pé, pois a escorre-",Portuguese
"gadela da língua pode lhe custar a cabeça, ao passo que a do pé pode ser facil-",Portuguese
mente curada»(prov. árabe).,Portuguese
Une glissade du pied est mieux qu'une de la langue.,Portuguese
"«Une glissade de la langue est plus fatale que celle du pied, car la glissade de la",Portuguese
"langue peut vous coúiter la tête, alors que celle du pied peut être guérie» (prov.",Portuguese
arabe).,Portuguese
A slip of the foot is better than the slip of the tongue.,Portuguese
"«A slip of the tongue is more dangerous than the slip of the foot, for the slip of",Portuguese
"the tongue may cost thy head, whilst the slip of the foot may easily be cured»",Portuguese
(Arabic prov.).,Portuguese
"SANGA-NGUNGA ATUFWENE VUMU, NTINU ANYIKIDI.",Portuguese
Uma aranha cuja barriga foi forrada tornou-se leve e mais rápida.,Portuguese
«Há males que vêm para bem».,Portuguese
Une araignée dont on a perforé le ventre est rendue plus légêre et rapide.,Portuguese
«A quelque chose malheur est bon».,Portuguese
A spider which is perforated become light-weight and more speedy.,Portuguese
«It's an ill wind that blows nobody any good».,Portuguese
SASA KWAKU MWAN'ANKWENO KANSI KALENDI KITUKA MWAN'AKU,Portuguese
"KO, KADI SASA KAVWA KO.",Portuguese
Criar uma criança alheia não dá direito de paternidade.,Portuguese
O provérbio subentende que o dever ou a satisfação de poder criar ou educar,Portuguese
uma criança alheia não confere a ninguém o direito de paternidade sobre ela.,Portuguese
Elever un enfant d'un autre ne donne pas un droit de paternité.,Portuguese
Ce proverbe sous-entend que le devoir ou la satisfaction que I'on peut éprouver,Portuguese
de pouvoir élever ou éduquer un enfant d'autrui ne confêre à personne le droit,Portuguese
de partenité sur lui.,Portuguese
297,Portuguese
To bring up or educate another's child doesn't entitle you to the fatherhood of,Portuguese
this child.,Portuguese
This proverb implies that the duty or the satisfaction someone may feel to bring,Portuguese
up or educate another's child does not give him the rightt of faterhood upon him.,Portuguese
SASALA KA BWA KO.,Portuguese
Escorregar não é cair.,Portuguese
«Nem toda escorregadela é uma caída».,Portuguese
Chanceler n'est pas tomber.,Portuguese
«Toute glissade n'est pas une chute».,Portuguese
To stagger is not to fall.,Portuguese
«Al] staggering is not a fall».,Portuguese
"S ULENDANGA TOMA SASA ANA KUMI, KANSI ANA KUMI",Portuguese
KALENDANGA SASA $S DYAWU KO.,Portuguese
Um pai pode cuidar bem dos seus dez filhos melhor do que os dez filhos,Portuguese
podem cuidar do seu único pai.,Portuguese
O paradoxo deste provérbio reside no facto de o pai ser totalmente responsável,Portuguese
"pelo bem-estar de todos os seus filhos, guiados talvez consciente ou inconsciente-",Portuguese
mente pelo princípio da sabedoria indiana que determina que «aquele que plan-,Portuguese
"tou uma árvore deve regá-la», ao passo que os filhos que não têm ou não sentem",Portuguese
essa obrigação se sentem pouco ou não responsáveis pelo bem-estar do seu pai.,Portuguese
"Os dois lados da medalha são ilustrados pelo facto de que para muitos pais,",Portuguese
"numerosos filhos são uma bênção, mas para muitos filhos, um pai é considerado",Portuguese
"como uma carga pesada, deixada «ao deus-dará». Contudo, os bons exemplos de",Portuguese
"filhos devotados aos seus pais e os maus exemplos de pais irresponsáveis, são",Portuguese
"excepções que confirmam a regra. No momento próprio, ambos serão devida-",Portuguese
"mente retribuídos, a contento ou contra vontade, pelas suas descendências.",Portuguese
Un pêre prend davantage de soin de ses dix enfants plus que ne peuvent le,Portuguese
faire dix enfants vis-à-vis de leur unique pêre.,Portuguese
Le paradoxe de ce proverbe réside dans le fait que le pêre est totalement respon-,Portuguese
"sable du bien-être de tous ses enfants, étant, peut-être, inspirés par le principe de",Portuguese
"la sagesse indienne qui détermine que «celui qui a planté un arbre doit I'arroser»,",Portuguese
tandis que les enfants qui n'ont pas cette obligation se sentent peu ou presque,Portuguese
pas responsables de leur pêre. Les deux côtés de la médaille sont illustrés par le,Portuguese
"fait que pour beaucoup de pêres, un grand nombre d'enfants est une bénédiction,",Portuguese
"tandis que pour beaucoup de fils, un pêre est considéré comme un fardeau dont",Portuguese
ils laissent les soins «à la merci de Dieu».Cependant les bons exemples des fils,Portuguese
"dévoués à leurs pêres, et les mauvais exemples des pêres irresponsables, sont des",Portuguese
"exceptions qui confirment la rêgle. Au moment donné, les uns et les autres",Portuguese
"seront dâment rétribués, à souhait ou à regret, par leurs respectives progénitures.",Portuguese
A father may care fairly well of his numerous children than can do these many,Portuguese
children take care of their unique father.,Portuguese
The paradox of this saying is in the fact that the father is totally accountable of,Portuguese
"the well-being of all of his children, maybe for being inspired by this principle of",Portuguese
298,Portuguese
"the Indian wisdom which determines that «he who planted a tree must water it»,",Portuguese
whereas the sons are hardiy responsible of their father. The both side of the,Portuguese
"medal are illustrated, one by the fact that, for many fathers, numerous children",Portuguese
are a blessing. and the other by the sons who consider their father as a burden,Portuguese
fitted to be at God's mercy. However good examples of devoted sons to their,Portuguese
"fathers, and bad examples of reckless fathers, are exceptions which prove the",Portuguese
"rule. At the appointed time, both of them will be duly compensated, at one's sat-",Portuguese
"isfaction or with ill will, by their respective offspring.",Portuguese
"SEVA YE AY'ASEVANGA, DILA YE AY'ADILANGA.",Portuguese
Regozija-te com qs que se regozijam e chora com os que choram.,Portuguese
"«Em Roma, faz como os Romanos».",Portuguese
"Réjouis-toi avec ceux qui se réjouissent, pleure avec ceux qui pleurent.",Portuguese
"«Quand tu seras à Rome, agis comme les Romains».",Portuguese
"Rejoice with those who rejoice, weep with those who weep.",Portuguese
"«When at Rome, you must do as the Romans do».",Portuguese
SINZA KYAKI KYA TUWULA KALA NKALU.,Portuguese
Este cepo já nos fez partir uma calabaça.,Portuguese
Esta máxima é usada quando alguém refere-se a um caso que já deixou uma,Portuguese
marca de prejuízo na família e que se deve evitar.,Portuguese
Cette souche nous a déja fait briser une calebasse.,Portuguese
"Se dit d'un cas qui a déja été I'objet d'une perte dans notre famille, de sorte qu'il",Portuguese
nous convient de I'éviter.,Portuguese
This stub has already made us break a calabash.,Portuguese
Said of a case which has already been prejudicial to our interest so it must be,Portuguese
shunned.,Portuguese
"SISA NSI YILELE, KUSISI NSI YITOKAMENE KO.",Portuguese
"Deixa um pais em paz, não deixa um pais em dificuldades.",Portuguese
"É uma recomendação feita aos dirigentes de um país, de não se ausentar do país",Portuguese
"quando está em guerra, pois «os ausentes nem sempre têm razão»; outrossim, é",Portuguese
nos tempos difíceis que um povo aprecia o patriotismo dos dirigentes que perma-,Portuguese
"necem ao seu lado, sacrificando as suas comodidades, quando tudo vai mal. Esta",Portuguese
recomendação é também extensiva aos chefes de famílias ou chefes de comunida-,Portuguese
des que dependem deles.,Portuguese
Laissez un pays en paix et non un pays en difficultés.,Portuguese
C'est une recommandation faite aux responsables d'un pays de ne pas sen absen-,Portuguese
"ter quand celui-ci se trouve en difficultés, car «les absents ont toujours tort», et",Portuguese
"d'autre part, c'est dans des temps difficiles que les peuples apprécient le patrio-",Portuguese
tisme des dirigeants qui restent à leurs côtés lorsque tout va mal. Cette recom-,Portuguese
mandation est aussi extensive aux chefs de familles ou de communautés qui,Portuguese
dépendent d'eux.,Portuguese
"You cannot be absent from your country while it is trouble, but only when it is",Portuguese
in peace.,Portuguese
299,Portuguese
"X is a recommendation given to any leader or chief of a country, family or com-",Portuguese
"munity, not to be conspicuous by one's absence while it is in difficulties, for",Portuguese
"«those who are absent are always wrong». Otherwise, it is in the difficult",Portuguese
moments that people appreciate the patriotism of the leaders who remain on,Portuguese
their sides when everything gets worse. This recommendation is also extensive to,Portuguese
the chiefs of the families or of the communities which depend on them.,Portuguese
"SISA TATA UTANANGA NGO, KUSISI TATA UNWANANGA YE NGO KO.",Portuguese
É bom deixar o pai que está a esfolar um leão e não quando está a lutar com ele.,Portuguese
"Equivale dizer que não se deve deixar um pai, ou alguém que depende de si,",Portuguese
"enquanto está em perigo de vida, mas só quando ele está fora de perigo.",Portuguese
NH est loisible de laisser le pêre qui est en train d'écorcher un lion et non quand,Portuguese
il est en train de lutter avec lui.,Portuguese
"C'est autant dire qu'il ne faut pas laisser son pêre, ou quelqu'un qui dépend de",Portuguese
"soi, en proie aux difficultés, mais seulement quand il est hors du danger.",Portuguese
"It is better to leave your father only when he is skinning a lion, but not while",Portuguese
he is fighting with it.,Portuguese
That is to say that you cannot leave your father or any person depending upon,Portuguese
"you, who is in difficulties, but only when there is nothing to ear for him.",Portuguese
"SOLE KANA SOLELA DYO SE DYAKU, KANDA KANA SOPELA DYO SE",Portuguese
DYAKU.,Portuguese
"O campo que tu cultivares é teu, a família em que tu esposares torna-se tua",Portuguese
"também,",Portuguese
A família por aliança é uma segunda família.,Portuguese
"Ia terre que tu cultives, c'est ta terre; la famille oú tu te maries devient ta",Portuguese
famille aussi.,Portuguese
La famille par alliance est une seconde famille.,Portuguese
The place where you have your tilling is your field; the family in which you,Portuguese
get married becomes also yours.,Portuguese
Relation by marriage enables the spouses to form integral parts of both fami-,Portuguese
lies.,Portuguese
SOVENKASA WASISA FWANGA.,Portuguese
Escolhe o feijão e deixa as cascas.,Portuguese
«Separar o trigo do joio». «Separar o bom do mal».,Portuguese
Choisis Vharicot et laisser les gousses.,Portuguese
«Séparer le bon grain de l'ivraie». «Séparer le bien du mal».,Portuguese
Choose the beans and leave the pods.,Portuguese
«To separate the tares from the wheat». «To separate the good from the evil».,Portuguese
SUKININA KANSI KUKONDI KO.,Portuguese
Vale mais tarde do nunca.,Portuguese
Cumprir uma tarefa mais tarde é melhor do que nunca.,Portuguese
300,Portuguese
Mieux vaut tard que jamais.,Portuguese
Remplir une tâche plus tard vaut mieux que jamais.,Portuguese
Better late than never.,Portuguese
To accomplish lately a task is better than never.,Portuguese
"SUMBA NTOYO, ENLUTA FUNGU, ZAWONSO NUNI ZA MFWANGA YOVO",Portuguese
MVIYA.,Portuguese
"Compraste um mocho e ganhaste uma coruja, são todas aves agoirentas ou de",Portuguese
mau augúrio.,Portuguese
Diz-se da aquisição de uma coisa que arrasta com ela uma outra coisa tanto pior,Portuguese
como ela.,Portuguese
Vous avez acheté un hibou et gagné une chouette. Ce sont tous des oiseaux de,Portuguese
mauvais augure.,Portuguese
Se dit de acquisition d'une chose qui s'accompagne d'une autre aussi mauvaise.,Portuguese
qu'elle.,Portuguese
You bought an owl and won a wood owl. They are both birds of ill omen.,Portuguese
Said of the acquisition of something which brings another thing so much the worse.,Portuguese
"SUMBA I LAU, BONGONONA KALAU KO.",Portuguese
"A posse por compra é segura, mas a posse por achado é questionável.",Portuguese
"«Dinheiro mal ganho, água o deu, água o levou».",Portuguese
"Ce qui est acquis par achat est sãr, alors qu'une trouvaille ne Iest pas.",Portuguese
«Bien mal acquis ne profite pas».,Portuguese
What is owned legally is more secure than what is owned by luck find.,Portuguese
«Ill-gotten gains seldom prosper».,Portuguese
"SUNZI DYA MBINDU, NTU MUNTAMBI, NKILA MUNTAMBU,",Portuguese
UKANIKUKINA NKATU.,Portuguese
"É um ratão sunzi azarento, que tem a cabeça na ratoeira, e a cauda também na",Portuguese
"ratoeira, pelo que não pode se mexer.",Portuguese
Se diz de qualquer pessoa de má sorte que está entre a espada e a parede.,Portuguese
C'est un gros rat Sunzi malchanceux dont la tête et la queue sont prises dans le,Portuguese
"piêge, de sorte qu'il ne peut pas se mouvoir.",Portuguese
Se dit de quelqu'un malchanceux qui a I'épée sur la gorge ou se trouve entre,Portuguese
I'enclume et le marteau.,Portuguese
It is an unkucky great rat sunzi which is caught in a trap with its head and tail,Portuguese
and so cannot move absolutely.,Portuguese
"Said of anyone which is in a critical situation, being between the devil and the deep sea.",Portuguese
"SYA NKWENO MULONGA, VO KAFWENE MO KO, YANI NGEYE MOSI",Portuguese
IKWENDA MO.,Portuguese
"Colocar o seu próximo numa bacia, se ele não caber nela, és tu que serás colo-",Portuguese
cado no seu lugar.,Portuguese
É o caso de um enganador redondamente enganado.,Portuguese
301,Portuguese
"Mettre ton prochain dans un bassin, et s'il il n'y tient pas, c'est toi-même qui",Portuguese
sera mis en son lieu et place.,Portuguese
«Tel est pris qui croyait prendre».,Portuguese
"If you try to put your fellow into a basin in which he doesn't fit, it will your-",Portuguese
self who will go into it.,Portuguese
«It's a case of the biter bit».,Portuguese
"SYA VUVU KU NZO A KO, MALENGE (TULA VUVU KYA DILA KUNZO,",Portuguese
NKINGA MALENGE KALEMBE).,Portuguese
"Quem espera comer em casa da sogra, encontra apenas abóbora.",Portuguese
"Esperar festejar em casa alheia, traz decepção.",Portuguese
"Qui espêre bien manger chez la belle-mêre, ne trouve que des citrouilles.",Portuguese
"Espérer fêter chez un autre, amêne déceptions.",Portuguese
"He who hopes to eat well at the mother-in-law's home, will find only boiled",Portuguese
gourds.,Portuguese
To pretend to make feast in another's home brings deception.,Portuguese
302,Portuguese
TADI DIMOSI DILENDA VONDA NUNI ZOLE.,Portuguese
Uma pedra pode matar duas aves.,Portuguese
É o mesmo que «matar dois coelhos de uma cajadada».,Portuguese
"Une pierre peut tuer deux oiseaux,",Portuguese
C'est le même que «faire d'une pierre deux coups».,Portuguese
One stone can kill two birds at once.,Portuguese
It's the same as «to kill two birds with one stone,Portuguese
TÁ DYE NTETEI TÁ.,Portuguese
O primeiro golpe conta mais do que todos os restantes.,Portuguese
"«Dá o primeiro golpe, ele será tanto forte como dois».",Portuguese
Le premier coup vaut plus que tous les autres.,Portuguese
"«Donnez le premier coup, il paraitra aussi fort que deux».",Portuguese
The first blow hurts more than all others.,Portuguese
"«Strike the first blow, it's as good as two».",Portuguese
"TADI YE TADI KATUNGANGA NZO KO,",Portuguese
Pedra com pedra não constrói uma casa.,Portuguese
«Duro com o duro não faz bom muro».,Portuguese
Pierre sur pierre ne construisent pas une maison.,Portuguese
«Fin contre fin ne vaut rien pour doublure».,Portuguese
Stone on stone cannot build a house.,Portuguese
Two difficult persons cannot do a good work.,Portuguese
"TAFUNA KUVITANGA, MINA IBOSI.",Portuguese
"Masticar vem primeiro, só depois engolir.",Portuguese
A ordem natural das coisas é vital na vida e deve ser respeitada.,Portuguese
"Mãcher en premier lieu, et avaler en second lieu.",Portuguese
Lordre naturel dans la vie est vital et doit être respecté.,Portuguese
Masticate first and swallow then.,Portuguese
Natural order in life is vital and must be taken into account.,Portuguese
"TA KINGANA, BANGUNA KINGANA, KABANGU WAKOMWA",Portuguese
MUDYAMBU DYA KINGANA (KABANGULA KO).,Portuguese
"Diga um provérbio, e explique-o, pois Kabangu foi condenado por não ter con-",Portuguese
seguido traduzir o seu provérbio.,Portuguese
Cada provérbio tem um sentido e uma explicação e quando utilizá-lo deve saber,Portuguese
explicá-lo.,Portuguese
303,Portuguese
"Dites un proverbe et expliquez-le, car Kabangu était condamné pour ne pas",Portuguese
avoir su expliquer son proverbe.,Portuguese
"Chaque proverbe a un sens et une explication, et quand vous Vutilisez, vous",Portuguese
devez en savoir la signification pour I'expliquer.,Portuguese
"Say a proverb and explain it, because Kabangu was condemned for not being",Portuguese
able to explain.,Portuguese
Any proverb has a sense and a meaning; whenever you say one you must be able,Portuguese
to explain it.,Portuguese
TATA... E... E... E... ELE VANGA YELELE! -E MWAN'E! E E! VO VANGA,Portuguese
"VENGE, VANGULULA.",Portuguese
"Pai...i...i...i...! O rio «Vanga» está cheio. Filho! Se tu agiste mal, corrija o mal e",Portuguese
voltarás a passar o rio a vau.,Portuguese
"«Quem engana o seu pai, priva-se das bênções divinas e chama a si maldições",Portuguese
que cedo ou tarde o castigarão».,Portuguese
"Pêre...e...e...e...! La riviêre «Vanga» est pleine. Mon fils! Si tu as mal fait, rec-",Portuguese
tifie le tir et tu repasseras la riviêre à gué.,Portuguese
"«Qui trompe son pêre, se prive des bénédictions divines et s“attire des malédic-",Portuguese
tions qui le puniront tôt ou tard». o,Portuguese
"Father! The river Vanga is full. Ó my Son! If you did badly, correct your action",Portuguese
and you'll ford the river or you'll wade through the river.,Portuguese
"He who'll.obtain something by fraud from his father, will be under a curse and",Portuguese
suffer punishment sooner or later.,Portuguese
